Company ID,Company Name,Alias,Industry ID,Industry,Sub Industry,Company Type,Headquarters,Country,Website,LinkedIn,Company Size,Employee Count,Annual Revenue Estimate,Business Description,Main Products/Services,Current Technologies,Branch Count,Operating Regions,Decision Maker Level,Existing Vendor,Existing Relationship,Potential Score,Strategic Priority,Business Challenges,Known Pain Points,Potential Needs,Cross Selling Potential,Upselling Potential,Risk Level,Last Updated,Data Source,Notes
COMP-011,PT Bank Digital Nusantara,BDN Bank,IND-006,Perbankan,Perbankan Digital,Tbk,Jakarta,Indonesia,bdnbank.co.id,linkedin.com/company/bdnbank,Enterprise,1500+,Rp8 Triliun,Bank digital yang fokus pada lending dan wealth management dengan platform mobile-first.,"Tabungan Digital, Pinjaman Pribadi, Wealth Management, Open Banking API","AWS, Kubernetes, Microservices, Oracle Banking",15,Nasional (Digital),C-Level,"Temenos, Accenture",Prospect,92,High,"Kompetisi ketat dari fintech dan bank digital lain, compliance OJK open banking","Legacy core banking lambat, kesulitan integrasi API","Core Banking Modernization, Open Banking Platform",Sangat Tinggi,Sangat Tinggi,Medium,2026-07-09,"Website, Annual Report",Sedang agresif ekspansi digital lending; butuh modernisasi core
COMP-012,PT Sawit Makmur Sejahtera,SMS Group,IND-007,Pertanian & Perkebunan,Perkebunan Kelapa Sawit,Swasta,Medan,Indonesia,sawitmakmur.co.id,linkedin.com/company/sawitmakmur,Enterprise,8000+,Rp12 Triliun,Produsen CPO dan produk turunan kelapa sawit dengan operasi di Sumatera dan Kalimantan.,"Crude Palm Oil, Palm Kernel Oil, Refinery Products","SAP, IoT Sensor Kebun, Genset Hybrid",12,"Sumatera, Kalimantan",Director,"Xurya, Local EPC",Prospect,85,High,"Tekanan ESG dari buyer Eropa, biaya energi tinggi",Ketergantungan genset diesel dan PLN fosil,"PLTS Atap + BESS, Carbon Accounting",Tinggi,Medium,Medium,2026-07-08,Laporan Keberlanjutan,Memiliki target Net Zero 2035; potensi besar PLTS
COMP-013,PT Marketplace Nusantara,MKT Nusantara,IND-002,E-Commerce & Marketplace,E-Commerce Platform,Tbk,Jakarta,Indonesia,mktnusantara.co.id,linkedin.com/company/mktnusantara,Enterprise,5000+,Rp18 Triliun,Platform e-commerce lokal dengan fokus pada UMKM dan logistik terintegrasi.,"Marketplace, Logistics Fulfillment, Payment Gateway","AWS, Custom CRM, MongoDB",25,Seluruh Indonesia,VP Operations,"Infomedia, Local BPO",Prospect,94,High,Skalabilitas CX saat peak season,Biaya agen CS tinggi saat promo,BPO Omnichannel + AI Agent,Sangat Tinggi,Sangat Tinggi,Low,2026-07-10,Laporan Keuangan,Volume CX sangat musiman; reseptif AI solution
COMP-014,PT Medika Sejahtera Group,Medika Group,IND-008,Kesehatan,Rumah Sakit Swasta,Swasta,Surabaya,Indonesia,medikasejahtera.co.id,linkedin.com/company/medikasejahtera,Enterprise,12000+,Rp7 Triliun,Jaringan rumah sakit swasta dengan 12 fasilitas di Jawa dan Sumatera.,"Layanan Kesehatan Rawat Inap & Jalan, Telemedicine","HIS, PACS, Hybrid Cloud",12,"Jawa, Sumatera",CISO / Director,Lintas Teknologi,Prospect,89,High,Perlindungan data pasien dan ancaman ransomware,Security posture belum Zero Trust,Zero Trust & Managed SOC,Tinggi,Tinggi,High,2026-07-07,Website,Fokus compliance Permenkes & UU PDP
COMP-015,PT Logistik Nusantara Prima,LNP Logistics,IND-004,Logistik & 3PL,Third Party Logistics,Swasta,Jakarta,Indonesia,lnplogistics.co.id,linkedin.com/company/lnplogistics,Enterprise,4500+,Rp9 Triliun,Penyedia 3PL dan warehousing untuk e-commerce dan manufaktur.,"Warehousing, Distribution, Fulfillment","Legacy WMS, Manual Picking",18,Seluruh Indonesia,COO,Local Integrator,Prospect,87,High,Efisiensi gudang dan throughput saat peak,Error picking dan fulfillment lambat,WMS + Robotics Automation,Tinggi,Tinggi,Medium,2026-07-06,Website,Sedang ekspansi gudang modern
COMP-016,PT Asuransi Jiwa Nusantara,AJN Insurance,IND-009,Asuransi,Asuransi Jiwa,Tbk,Jakarta,Indonesia,ajninsurance.co.id,linkedin.com/company/ajninsurance,Enterprise,3000+,Rp11 Triliun,Perusahaan asuransi jiwa dengan fokus produk proteksi dan investasi.,"Asuransi Jiwa, Kesehatan, Unit Link",Legacy Core Insurance System,45,Nasional,COO,Local System Integrator,Prospect,83,High,Efisiensi proses underwriting dan klaim,Proses manual dokumen dan backlog,RPA + IDP,Sangat Tinggi,Tinggi,Medium,2026-07-05,Laporan Tahunan,Fokus digital transformation
COMP-017,PT Surya Makmur Group,SM Group,IND-010,Konglomerat & Holding,Diversified Conglomerate,Swasta,Jakarta,Indonesia,suryamakmur.co.id,linkedin.com/company/suryamakmurgroup,Enterprise,25000+,Rp45 Triliun,"Konglomerat dengan bisnis di manufaktur, properti, dan energi.",Diversified Portfolio,"Multi-Cloud (AWS, Azure, GCP)",80+,Seluruh Indonesia,Group CIO,"Accenture, Local MSP",Existing Client,96,High,Governance multi-cloud dan cost control,Cloud spend overrun,FinOps & Cloud Governance,Sangat Tinggi,Sangat Tinggi,Medium,2026-07-10,Annual Report,Sedang push cloud optimization
COMP-018,PT Express Logistik Indonesia,ELI Express,IND-004,Logistik & Kurir,Courier & Delivery,Swasta,Jakarta,Indonesia,eliexpress.co.id,linkedin.com/company/eliexpress,Enterprise,12000+,Rp6 Triliun,Layanan kurir express domestik dengan armada besar.,"Same Day, Next Day Delivery","TMS, Fleet Management",120,Nasional,Director Operations,Local Fleet Provider,Prospect,88,High,Transisi ke green logistics,Biaya BBM armada tinggi,EV Fleet Conversion,Tinggi,Tinggi,Medium,2026-07-04,Website,Target sustainability holding
COMP-019,PT BUMN Mandiri Persada,BMP BUMN,IND-011,BUMN & Pemerintahan,Holding BUMN,BUMN,Jakarta,Indonesia,bmpbumn.co.id,linkedin.com/company/bmpbumn,Enterprise,18000+,Rp22 Triliun,Holding BUMN di sektor infrastruktur dan jasa.,Manajemen SDM Group,Fragmented HRIS,35,Nasional,CHRO,"SAP HCM, Local",Prospect,90,High,Digitalisasi SDM sesuai arahan Kementerian BUMN,Proses HR manual dan turnover tinggi,HRIS Enterprise + Corporate University,Sangat Tinggi,Tinggi,Low,2026-07-10,LKPP,Proyek strategis digitalisasi SDM
COMP-020,PT Bank Retail Nusantara,BRN Bank,IND-006,Perbankan,Retail Banking,Tbk,Jakarta,Indonesia,brnbank.co.id,linkedin.com/company/brnbank,Enterprise,7000+,Rp14 Triliun,Bank retail dengan jaringan luas dan fokus consumer banking.,"Tabungan, Kredit Konsumer, Kartu Kredit","Legacy CRM, Multiple Data Silo",450,Nasional,CMO,"SAS, Local",Existing Client,93,High,Personalization dan retention customer,Tidak ada single customer view,Customer 360 & Advanced Analytics,Sangat Tinggi,Sangat Tinggi,Medium,2026-07-09,Annual Report,Existing relationship di core banking
COMP-021,PT Kawasan Industri Nusantara,KIN Group,IND-012,Properti & Kawasan Industri,Industrial Estate,Tbk,Bekasi,Indonesia,kin.co.id,linkedin.com/company/kin-group,Enterprise,1500+,Rp5 Triliun,Pengembang dan pengelola kawasan industri dan perkantoran.,"Industrial Park, Office Building",Multiple Vendor Facility,8,"Jawa Barat, Jawa Timur",Director Operations,"Sapta Sarana, ISS",Prospect,84,Medium,Standarisasi facility management,Vendor management kompleks,Integrated Facility Management,Tinggi,Tinggi,Low,2026-07-03,Website,Fokus ISO dan tenant satisfaction
COMP-022,PT Pharma Distribusi Indonesia,PDI Pharma,IND-013,Farmasi & Kesehatan,Distribusi Farmasi,Swasta,Jakarta,Indonesia,pdipharma.co.id,linkedin.com/company/pdipharma,Enterprise,3500+,Rp10 Triliun,Distributor obat dan alat kesehatan nasional.,"Distribusi Farmasi, Cold Chain Logistics","Legacy ERP, Site VPN",220,Nasional,CIO,"Telkomsel, XL",Prospect,86,High,Konektivitas cabang dan compliance data,Jaringan cabang lambat,SD-WAN + SASE,Tinggi,Tinggi,Medium,2026-07-08,Website,Regulasi BPOM ketat
COMP-023,PT Nickel Resources Indonesia,NRI Mining,IND-003,Pertambangan,Tambang Nikel,Tbk,Jakarta,Indonesia,nrimining.co.id,linkedin.com/company/nri-mining,Enterprise,6000+,Rp28 Triliun,Produsen nikel untuk baterai EV dengan operasi remote.,"Nickel Ore, Ferronickel",Genset Heavy Duty,6,"Sulawesi, Halmahera",CEO,Essens Renewable,Prospect,82,High,Dekarbonisasi operasional tambang,Biaya energi genset tinggi,Solar Hybrid Microgrid,Tinggi,Tinggi,Medium,2026-07-07,RUPTL,Buyer EV battery mensyaratkan ESG
COMP-024,PT Finance Nusantara Mandiri,FNM Finance,IND-014,Keuangan (Multifinance),Multifinance,PMA,Jakarta,Indonesia,fnmfinance.co.id,linkedin.com/company/fnmfinance,Enterprise,1200+,Rp4 Triliun,Perusahaan pembiayaan konsumer dan kendaraan.,"Pembiayaan Kendaraan, Multiguna",LOS/LMS System,80,Nasional,CRO,Local Collection,Prospect,91,High,Manajemen NPL dan collection efisien,Recovery rate rendah dan compliance OJK,Digital Debt Collection Platform,Sangat Tinggi,Tinggi,High,2026-07-10,OJK Report,NPL bucket naik; butuh solusi digital
COMP-025,PT Office Tower Indonesia,OTI Tower,IND-012,Properti & Real Estate,Commercial Property,Tbk,Jakarta,Indonesia,otitower.co.id,linkedin.com/company/oti-tower,Enterprise,800+,Rp3 Triliun,Pengelola gedung perkantoran Grade A di CBD Jakarta.,"Office Leasing, Property Management",Legacy BMS,5,Jakarta,Property Director,Johnson Controls,Existing Client,90,Medium,Efisiensi energi dan tenant experience,Energy consumption tinggi,Smart Building & BMS Upgrade,Tinggi,Tinggi,Low,2026-07-10,Website,Target green building certification
